图标	方块	命名空间ID	物品形式
	金合欢木按钮	acacia_button	ID相同
	金合欢木门	acacia_door	ID相同
	金合欢木栅栏	acacia_fence	ID相同
	金合欢木栅栏门	acacia_fence_gate	ID相同
	悬挂式金合欢木告示牌	acacia_hanging_sign	ID相同
	金合欢树叶	acacia_leaves	ID相同
	金合欢原木	acacia_log	ID相同
	金合欢木板	acacia_planks	ID相同
	金合欢木压力板	acacia_pressure_plate	ID相同
	金合欢树苗	acacia_sapling	ID相同
	金合欢木告示牌	acacia_sign	ID相同
	金合欢木台阶	acacia_slab	ID相同
	金合欢木楼梯	acacia_stairs	ID相同
	金合欢木活板门	acacia_trapdoor	ID相同
	墙上的金合欢木告示牌	acacia_wall_sign	物品的放置方式变种（acacia_sign）
	墙上的悬挂式金合欢木告示牌	acacia_wall_hanging_sign	物品的放置方式变种（acacia_hanging_sign）
	金合欢木	acacia_wood	ID相同
	激活铁轨	activator_rail	ID相同
空气	air	等同于空物品槽
	绒球葱	allium	ID相同
	紫水晶块	amethyst_block	ID相同
	紫水晶簇	amethyst_cluster	ID相同
	远古残骸	ancient_debris	ID相同
	安山岩	andesite	ID相同
	安山岩台阶	andesite_slab	ID相同
	安山岩楼梯	andesite_stairs	ID相同
	安山岩墙	andesite_wall	ID相同
	铁砧	anvil	ID相同
	结果的西瓜茎	attached_melon_stem	物品的生长阶段变种（melon_seeds）
	结果的南瓜茎	attached_pumpkin_stem	物品的生长阶段变种（pumpkin_seeds）
	杜鹃花丛	azalea	ID相同
	杜鹃树叶	azalea_leaves	ID相同
	蓝花美耳草	azure_bluet	ID相同
	竹子	bamboo	ID相同
	竹块	bamboo_block	ID相同
	竹按钮	bamboo_button	ID相同
	竹门	bamboo_door	ID相同
	竹栅栏	bamboo_fence	ID相同
	竹栅栏门	bamboo_fence_gate	ID相同
	悬挂式竹告示牌	bamboo_hanging_sign	ID相同
	竹马赛克	bamboo_mosaic	ID相同
	竹马赛克台阶	bamboo_mosaic_slab	ID相同
	竹马赛克楼梯	bamboo_mosaic_stairs	ID相同
	竹板	bamboo_planks	ID相同
	竹压力板	bamboo_pressure_plate	ID相同
	竹笋	bamboo_sapling	物品的生长阶段变种（bamboo）
	竹告示牌	bamboo_sign	ID相同
	竹台阶	bamboo_slab	ID相同
	竹楼梯	bamboo_stairs	ID相同
	竹活板门	bamboo_trapdoor	ID相同
	墙上的悬挂式竹告示牌	bamboo_wall_hanging_sign	物品的放置方式变种（bamboo_hanging_sign）
	墙上的竹告示牌	bamboo_wall_sign	物品的放置方式变种（bamboo_sign）
	木桶	barrel	ID相同
	屏障	barrier	ID相同
	玄武岩	basalt	ID相同
	信标	beacon	ID相同
	基岩	bedrock	ID相同
	蜂巢	bee_nest	ID相同
	蜂箱	beehive	ID相同
	甜菜根	beetroots	ID不同（beetroot）
	钟	bell	ID相同
