树脂团	resin_clump
红石粉	redstone
鞍	saddle
白色挽具	white_harness
淡灰色挽具	light_gray_harness
灰色挽具	gray_harness
黑色挽具	black_harness
棕色挽具	brown_harness
红色挽具	red_harness
橙色挽具	orange_harness
黄色挽具	yellow_harness
黄绿色挽具	lime_harness
绿色挽具	green_harness
青色挽具	cyan_harness
淡蓝色挽具	light_blue_harness
蓝色挽具	blue_harness
紫色挽具	purple_harness
品红色挽具	magenta_harness
粉红色挽具	pink_harness
矿车	minecart
运输矿车	chest_minecart
动力矿车	furnace_minecart
TNT矿车	tnt_minecart
漏斗矿车	hopper_minecart
胡萝卜钓竿	carrot_on_a_stick
诡异菌钓竿	warped_fungus_on_a_stick
幻翼膜	phantom_membrane
鞘翅	elytra
橡木船	oak_boat
橡木运输船	oak_chest_boat
云杉木船	spruce_boat
云杉木运输船	spruce_chest_boat
白桦木船	birch_boat
白桦木运输船	birch_chest_boat
丛林木船	jungle_boat
丛林木运输船	jungle_chest_boat
金合欢木船	acacia_boat
金合欢木运输船	acacia_chest_boat
樱花木船	cherry_boat
樱花木运输船	cherry_chest_boat
深色橡木船	dark_oak_boat
深色橡木运输船	dark_oak_chest_boat
苍白橡木船	pale_oak_boat
苍白橡木运输船	pale_oak_chest_boat
红树木船	mangrove_boat
红树木运输船	mangrove_chest_boat
竹筏	bamboo_raft
运输竹筏	bamboo_chest_raft
海龟壳	turtle_helmet
海龟鳞甲	turtle_scute
犰狳鳞甲	armadillo_scute
狼铠	wolf_armor
打火石	flint_and_steel
碗	bowl
苹果	apple
弓	bow
箭	arrow
煤炭	coal
木炭	charcoal
钻石	diamond
绿宝石	emerald
青金石	lapis_lazuli
下界石英	quartz
紫水晶碎片	amethyst_shard
粗铁	raw_iron
铁锭	iron_ingot
粗铜	raw_copper
铜锭	copper_ingot
粗金	raw_gold
金锭	gold_ingot
下界合金锭	netherite_ingot
下界合金碎片	netherite_scrap
木剑	wooden_sword
木锹	wooden_shovel
木镐	wooden_pickaxe
木斧	wooden_axe
木锄	wooden_hoe
石剑	stone_sword
石锹	stone_shovel
石镐	stone_pickaxe
石斧	stone_axe
石锄	stone_hoe
金剑	golden_sword
金锹	golden_shovel
金镐	golden_pickaxe
金斧	golden_axe
金锄	golden_hoe
铁剑	iron_sword
铁锹	iron_shovel
铁镐	iron_pickaxe
铁斧	iron_axe
铁锄	iron_hoe
钻石剑	diamond_sword
钻石锹	diamond_shovel
钻石镐	diamond_pickaxe
钻石斧	diamond_axe
钻石锄	diamond_hoe
下界合金剑	netherite_sword
下界合金锹	netherite_shovel
下界合金镐	netherite_pickaxe
下界合金斧	netherite_axe
下界合金锄	netherite_hoe
木棍	stick
蘑菇煲	mushroom_stew
线	string
羽毛	feather
火药	gunpowder
小麦种子	wheat_seeds
小麦	wheat
面包	bread
皮革帽子	leather_helmet
皮革外套	leather_chestplate
皮革裤子	leather_leggings
皮革靴子	leather_boots
锁链头盔	chainmail_helmet
锁链胸甲	chainmail_chestplate
锁链护腿	chainmail_leggings
锁链靴子	chainmail_boots
铁头盔	iron_helmet
铁胸甲	iron_chestplate
铁护腿	iron_leggings
铁靴子	iron_boots
钻石头盔	diamond_helmet
钻石胸甲	diamond_chestplate
钻石护腿	diamond_leggings
钻石靴子	diamond_boots
金头盔	golden_helmet
金胸甲	golden_chestplate
金护腿	golden_leggings
金靴子	golden_boots
下界合金头盔	netherite_helmet
下界合金胸甲	netherite_chestplate
下界合金护腿	netherite_leggings
下界合金靴子	netherite_boots
燧石	flint
生猪排	porkchop
熟猪排	cooked_porkchop
画	painting
金苹果	golden_apple
附魔金苹果	enchanted_golden_apple
铁桶	bucket
水桶	water_bucket
熔岩桶	lava_bucket
细雪桶	powder_snow_bucket
雪球	snowball
皮革	leather
奶桶	milk_bucket
河豚桶	pufferfish_bucket
鲑鱼桶	salmon_bucket
鳕鱼桶	cod_bucket
热带鱼桶	tropical_fish_bucket
美西螈桶	axolotl_bucket
蝌蚪桶	tadpole_bucket
红砖	brick
黏土球	clay_ball
纸	paper
书	book
黏液球	slime_ball
鸡蛋	egg
